,real_date,open_price,high_price,low_price,closing_price,adj_close,volume,range,rng_perct_close
0,2010-06-29,19.0,25.0,17.540001,23.889999,23.889999,18766300,7.459999,31.22645170474892
1,2010-06-30,25.790001,30.42,23.299999,23.83,23.83,17187100,7.120001000000002,29.87830885438524
2,2010-07-01,25.0,25.92,20.27,21.959999,21.959999,8218800,5.650000000000002,25.72859862152089
3,2010-07-02,23.0,23.1,18.709999,19.200001,19.200001,5139800,4.390001000000002,22.86458735080275
4,2010-07-06,20.0,20.0,15.83,16.110001,16.110001,6866900,4.17,25.88454215490117
5,2010-07-07,16.4,16.629998999999998,14.98,15.8,15.8,6921700,1.6499989999999976,10.443031645569604
6,2010-07-08,16.139999,17.52,15.57,17.459999,17.459999,7711400,1.9499999999999993,11.16838551938061
7,2010-07-09,17.58,17.9,16.549999,17.4,17.4,4050600,1.350000999999999,7.758626436781603
8,2010-07-12,17.950001,18.07,17.0,17.049999,17.049999,2202500,1.0700000000000003,6.275660192120834
9,2010-07-13,17.389999,18.639999,16.9,18.139999,18.139999,2680100,1.739999000000001,9.592056758106773
10,2010-07-14,17.940001000000002,20.15,17.76,19.84,19.84,4195200,2.389999999999997,12.04637096774192
11,2010-07-15,19.940001000000002,21.5,19.0,19.889999,19.889999,3739800,2.5,12.56913084812121
12,2010-07-16,20.700001,21.299999,20.049999,20.639999,20.639999,2621300,1.25,6.056201843808228
13,2010-07-19,21.370001000000002,22.25,20.92,21.91,21.91,2486500,1.3299999999999983,6.0702875399360945
14,2010-07-20,21.85,21.85,20.049999,20.299999,20.299999,1825300,1.8000010000000017,8.86700043679806
15,2010-07-21,20.66,20.9,19.5,20.219998999999998,20.219998999999998,1252500,1.3999999999999986,6.923838126797131
16,2010-07-22,20.5,21.25,20.370001000000002,21.0,21.0,957800,0.879998999999998,4.190471428571419
17,2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,21.290001,653600,0.5,2.3485203218168005
18,2010-07-26,21.5,21.5,20.299999,20.950001,20.950001,922200,1.2000010000000003,5.727928127545198
19,2010-07-27,20.91,21.18,20.26,20.549999,20.549999,619700,0.9199999999999982,4.476885862622174
20,2010-07-28,20.549999,20.9,20.51,20.719998999999998,20.719998999999998,467200,0.389999999999997,1.8822394730810414
21,2010-07-29,20.77,20.879998999999998,20.0,20.35,20.35,616000,0.879998999999998,4.3243194103194
22,2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,19.940001000000002,426900,0.8900020000000026,4.463399976760295
23,2010-08-02,20.5,20.969998999999998,20.33,20.92,20.92,718100,0.6399989999999995,3.059268642447416
24,2010-08-03,21.0,21.950001,20.82,21.950001,21.950001,1230500,1.130001,5.148068102593709
25,2010-08-04,21.950001,22.18,20.85,21.26,21.26,913000,1.3299999999999983,6.255879586077132
26,2010-08-05,21.540001,21.549999,20.049999,20.450001,20.450001,796200,1.5,7.334962966505479
27,2010-08-06,20.1,20.16,19.52,19.59,19.59,741900,0.6400000000000006,3.266972945380299
28,2010-08-09,19.9,19.98,19.450001,19.6,19.6,812700,0.5299990000000001,2.704076530612245
29,2010-08-10,19.65,19.65,18.82,19.030001000000002,19.030001000000002,1281300,0.8299999999999983,4.36153419014533
30,2010-08-11,18.690001000000002,18.879998999999998,17.85,17.9,17.9,797600,1.0299989999999966,5.754184357541881
31,2010-08-12,17.799999,17.9,17.389999,17.6,17.6,691000,0.510000999999999,2.897732954545449
32,2010-08-13,18.18,18.450001,17.66,18.32,18.32,634000,0.7900010000000002,4.312232532751093
33,2010-08-16,18.450001,18.799999,18.26,18.780001000000002,18.780001000000002,485800,0.5399989999999981,2.875393883099357
34,2010-08-17,18.959999,19.4,18.780001000000002,19.15,19.15,447900,0.6199989999999964,3.2375926892950204
35,2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,0.9899999999999984,5.274374001065522
36,2010-08-19,18.540001,19.25,18.33,18.790001,18.790001,579100,0.9200000000000017,4.896221133782812
37,2010-08-20,18.65,19.110001,18.51,19.1,19.1,296000,0.6000009999999989,3.141366492146591
38,2010-08-23,19.09,20.389999,19.0,20.129998999999998,20.129998999999998,1088100,1.3899989999999995,6.905112116498365
39,2010-08-24,19.25,19.709999,18.950001,19.200001,19.200001,673100,0.7599979999999995,3.958322710504023
40,2010-08-25,19.16,19.98,18.559998999999998,19.9,19.9,503300,1.4200010000000027,7.135683417085441
41,2010-08-26,19.889999,20.27,19.6,19.75,19.75,433800,0.6699999999999982,3.39240506329113
42,2010-08-27,19.75,19.870001000000002,19.5,19.700001,19.700001,379600,0.370001000000002,1.8781775696356666
43,2010-08-30,19.700001,20.190001000000002,19.610001,19.870001000000002,19.870001000000002,732800,0.5800000000000018,2.9189731797195266
44,2010-08-31,19.66,19.790001,19.33,19.48,19.48,201100,0.4600010000000019,2.3614014373716725
45,2010-09-01,19.620001000000002,20.690001000000002,19.6,20.450001,20.450001,494900,1.0900010000000009,5.330077978969296
46,2010-09-02,20.370001000000002,21.24,20.309998999999998,21.059998999999998,21.059998999999998,487100,0.9300010000000007,4.4159593739771825
47,2010-09-03,20.870001000000002,21.299999,20.66,21.049999,21.049999,434600,0.6399989999999995,3.040375441348
48,2010-09-07,20.610001,21.0,20.5,20.540001,20.540001,243400,0.5,2.434274467659471
49,2010-09-08,20.66,20.950001,20.6,20.9,20.9,288400,0.3500009999999989,1.674645933014349
50,2010-09-09,21.0,21.049999,20.690001000000002,20.709999,20.709999,376200,0.3599979999999974,1.7382811075944398
51,2010-09-10,20.75,20.93,19.76,20.17,20.17,386600,1.1699999999999982,5.800694100148726
52,2010-09-13,20.889999,20.9,20.5,20.719998999999998,20.719998999999998,360800,0.3999999999999986,1.930502023672871
53,2010-09-14,20.540001,21.6,20.530001000000002,21.120001000000002,21.120001000000002,654700,1.0699989999999993,5.06628290405857
54,2010-09-15,20.98,22.0,20.790001,21.98,21.98,684600,1.2099989999999998,5.504999999999999
55,2010-09-16,22.15,23.16,20.84,20.940001000000002,20.940001000000002,2684500,2.3200000000000003,11.079273587427242
56,2010-09-17,21.02,21.32,19.799999,20.23,20.23,1198500,1.5200010000000006,7.513598615916958
57,2010-09-20,20.67,21.35,20.16,21.059998999999998,21.059998999999998,947500,1.1900000000000013,5.650522585494906
58,2010-09-21,20.889999,21.549999,20.67,20.77,20.77,796000,0.879998999999998,4.236875300914771
59,2010-09-22,20.870001000000002,20.950001,19.799999,19.870001000000002,19.870001000000002,962900,1.1500020000000006,5.787629301075529
60,2010-09-23,19.889999,20.139999,19.5,19.559998999999998,19.559998999999998,668100,0.6399989999999995,3.271978694886434
61,2010-09-24,19.950001,20.190001000000002,19.65,20.1,20.1,578900,0.5400010000000037,2.686572139303501
62,2010-09-27,20.4,20.809998999999998,20.049999,20.530001000000002,20.530001000000002,418600,0.759999999999998,3.701899478718963
63,2010-09-28,21.040001,21.49,20.76,21.4,21.4,1214500,0.7299999999999969,3.4112149532710134
64,2010-09-29,21.190001000000002,22.030001000000002,21.129998999999998,21.98,21.98,1969300,0.9000020000000042,4.0946405823476075
65,2010-09-30,22.0,22.15,20.190001000000002,20.41,20.41,2195800,1.9599989999999963,9.60313081822634
66,2010-10-01,20.690001000000002,20.75,20.309998999999998,20.6,20.6,597700,0.4400010000000023,2.1359271844660306
67,2010-10-04,20.43,21.17,20.299999,20.99,20.99,643600,0.870001000000002,4.14483563601716
68,2010-10-05,21.15,21.280001000000002,21.01,21.120001000000002,21.120001000000002,332000,0.2700010000000006,1.2784137652266236
69,2010-10-06,21.059998999999998,21.26,20.32,20.459999,20.459999,313400,0.9400000000000013,4.594330625333859
70,2010-10-07,20.57,20.639999,20.34,20.43,20.43,141000,0.2999989999999997,1.468423886441506
